ID,Posted at,Screen name,Text
811323904224530436,2016-12-20 21:34:27 +0000,WhiteHouse,The Arctic is a critical and irreplaceable part of our world. Let’s make sure we protect it for future generations:… https://t.co/MJkOH3Yt5a
811322240541331456,2016-12-20 21:27:50 +0000,WhiteHouse,RT @SecretaryJewell: Thanks @POTUS for protecting Arctic/Atlantic waters for future generations - places too special to develop. SJ… https://t.co/Eo2h2aVvra
811319002639269888,2016-12-20 21:14:58 +0000,WhiteHouse,RT @FactsOnClimate: The Arctic is one of the most pristine—and fragile—regions on our planet. Here’s why @POTUS is protecting it:… https://t.co/rmRjDxyQDp
811317870223360001,2016-12-20 21:10:28 +0000,WhiteHouse,BREAKING: The U.S. and Canada are taking historic steps to protect Arctic waters from future oil and gas leasing:… https://t.co/8XwoftOfQz
811300914237755393,2016-12-20 20:03:05 +0000,WhiteHouse,"Yesterday, @POTUS granted 231 people clemency—the most individual acts of clemency granted in a day by a president:… https://t.co/bR9zSaaInA"
811278412514000896,2016-12-20 18:33:41 +0000,WhiteHouse,RT @DrBiden: Happy holidays from the Bidens! Hosting at the @VP's Residence over these 8 years has been the honor of a lifetime: https://t.co/gCBkOfqzvN
810985830168797186,2016-12-19 23:11:03 +0000,WhiteHouse,"RT @Simas44: It's been the greatest honor to work with my remarkable colleagues for @POTUS & the American people. Tomorrow, I'm @d_simas on a new journey"
810976884129460224,2016-12-19 22:35:31 +0000,WhiteHouse,"Read the statement from @Price44 on the attack on a Christmas market in Berlin, Germany: https://t.co/RHEDJvR3ee https://t.co/Yw9x4cCH8q"
810940991377211393,2016-12-19 20:12:53 +0000,WhiteHouse,"BREAKING: @POTUS has now commuted the sentences of 1,176 deserving people—more than the past 11 presidents combined… https://t.co/Godk9cTiTU"
810935777731473408,2016-12-19 19:52:10 +0000,WhiteHouse,"RT @NSC44: Statement on the assassination of Andrei Karlov, the Russian Ambassador to Turkey: https://t.co/K1a25cvMjz https://t.co/KFggIxB0Lz"
810903865105256449,2016-12-19 17:45:21 +0000,WhiteHouse,RT @NPR: Full transcript and video: @POTUS exit interview with @NPR/ @NPRinskeep: https://t.co/aOY3E1ZKvn https://t.co/rmuWRVmOxW
810886711995731969,2016-12-19 16:37:12 +0000,WhiteHouse,RT @HHSGov: Last chance! Today is the last day to sign up for coverage starting January 1. Don’t wait any longer →… https://t.co/3dhQdTSvCH
810863055089401856,2016-12-19 15:03:12 +0000,WhiteHouse,"RT @whitehouseostp: ""Celebrating Hidden & Modern Figures from 4 Eras of #Space Exploration"" w cast from @HiddenFigures… https://t.co/QwSr0EsZEj"
810632916850118657,2016-12-18 23:48:42 +0000,WhiteHouse,"RT @JohnKerry: Today, on #InternationalMigrantsDay, we reflect on the ways migrants enrich our culture, improve our economy, and make our nation stronger."
